experiment,family,k,horizon,policy,turn,n_episodes,mean_cumulative_pseudo_regret,mean_cumulative_reward,non_greedy_fraction
pilot,clear,2,20,bayes_sample,3,3,0.26666666666666666,2.0,0.3333333333333333
pilot,clear,2,20,bayes_sample,4,3,0.39999999999999997,2.6666666666666665,0.3333333333333333
pilot,clear,2,20,bayes_sample,5,3,0.5333333333333333,3.0,0.3333333333333333
pilot,clear,2,20,bayes_sample,6,3,0.5333333333333333,3.6666666666666665,0.0
pilot,clear,2,20,bayes_sample,7,3,0.5333333333333333,4.666666666666667,0.0
pilot,clear,2,20,bayes_sample,8,3,0.6666666666666666,5.0,0.3333333333333333
pilot,clear,2,20,bayes_sample,9,3,0.7999999999999999,5.333333333333333,0.3333333333333333
pilot,clear,2,20,bayes_sample,10,3,0.7999999999999999,6.0,0.0
pilot,clear,2,20,bayes_sample,11,3,0.7999999999999999,7.0,0.0
pilot,clear,2,20,bayes_sample,12,3,0.9333333333333332,7.666666666666667,0.3333333333333333
pilot,clear,2,20,bayes_sample,13,3,0.9333333333333332,8.0,0.0
pilot,clear,2,20,bayes_sample,14,3,0.9333333333333332,8.333333333333334,0.0
pilot,clear,2,20,bayes_sample,15,3,0.9333333333333332,8.333333333333334,0.0
pilot,clear,2,20,bayes_sample,16,3,0.9333333333333332,9.0,0.0
pilot,clear,2,20,bayes_sample,17,3,0.9333333333333332,10.0,0.0
pilot,clear,2,20,bayes_sample,18,3,0.9333333333333332,10.333333333333334,0.0
pilot,clear,2,20,bayes_sample,19,3,1.0666666666666667,10.333333333333334,0.3333333333333333
pilot,clear,2,20,bayes_sample,20,3,1.0666666666666667,11.0,0.0
pilot,clear,2,20,bayes_ucb,1,3,0.26666666666666666,0.3333333333333333,0.0
pilot,clear,2,20,bayes_ucb,2,3,0.26666666666666666,1.3333333333333333,0.0
pilot,clear,2,20,bayes_ucb,3,3,0.26666666666666666,2.0,0.0
pilot,clear,2,20,bayes_ucb,4,3,0.26666666666666666,2.6666666666666665,0.0
pilot,clear,2,20,bayes_ucb,5,3,0.26666666666666666,3.3333333333333335,0.0
pilot,clear,2,20,bayes_ucb,6,3,0.26666666666666666,4.333333333333333,0.0
pilot,clear,2,20,bayes_ucb,7,3,0.26666666666666666,4.666666666666667,0.0
pilot,clear,2,20,bayes_ucb,8,3,0.39999999999999997,5.0,0.3333333333333333
