fixture_id,k,representation,target,primitive,mean_binary_excess_brier,mean_binary_excess_log_loss,mean_absolute_error
e10_primitive_bridge:15:2,15,oracle_probs_only,best_arm,noul,0.0040818520404265835,0.031035053502677525,0.044182089889893555
e10_primitive_bridge:15:2,15,oracle_probs_only,next_reward,choice,0.01785526470643354,0.026110173118953577,0.0761111111111111
e10_primitive_bridge:15:2,15,oracle_probs_only,next_reward,noul,0.0037866066977755297,0.006821647809172351,0.03523809523809525
e10_primitive_bridge:15:20,15,bayes,best_arm,choice,0.044740692116611434,0.30400322911201855,0.06751695018135519
e10_primitive_bridge:15:20,15,bayes,best_arm,noul,0.021471634933623692,0.04148467819992141,0.05187172484337502
e10_primitive_bridge:15:20,15,bayes,next_reward,choice,0.07818721950488183,0.0897046215041294,0.18004473304473306
e10_primitive_bridge:15:20,15,bayes,next_reward,noul,0.003308806806469146,0.005006173482662386,0.03755266955266957
e10_primitive_bridge:15:20,15,counts,best_arm,choice,0.024748396082318824,0.05152885772232618,0.049516950181355185
e10_primitive_bridge:15:20,15,counts,best_arm,noul,0.008653724893412757,0.023517182835199747,0.040075499835131624
e10_primitive_bridge:15:20,15,counts,next_reward,choice,0.020722573040235386,0.027644335237107808,0.0831875901875902
e10_primitive_bridge:15:20,15,counts,next_reward,noul,0.0037787057963681358,0.005115927687579908,0.034568542568542575
e10_primitive_bridge:15:20,15,oracle_probs_full,best_arm,choice,0.0488191821199088,0.8204621491573275,0.07018361684802185
e10_primitive_bridge:15:20,15,oracle_probs_full,best_arm,noul,0.0026664213140285024,0.017822252172857326,0.03133461651828513
e10_primitive_bridge:15:20,15,oracle_probs_full,next_reward,choice,0.00929512715278949,0.013123956797001568,0.05749206349206348
e10_primitive_bridge:15:20,15,oracle_probs_full,next_reward,noul,0.0022365412942036314,0.004041792264662668,0.027148629148629148
e10_primitive_bridge:15:20,15,oracle_probs_only,best_arm,choice,0.0488191821199088,0.8204621491573275,0.07018361684802185
e10_primitive_bridge:15:20,15,oracle_probs_only,best_arm,noul,0.0062506369822092995,0.03159503221618667,0.04700128318495178
e10_primitive_bridge:15:20,15,oracle_probs_only,next_reward,choice,0.02528456438222671,0.0343089265721726,0.09385569985569983
e10_primitive_bridge:15:20,15,oracle_probs_only,next_reward,noul,0.004119023256685593,0.0074031883030152785,0.03621933621933622
e10_primitive_bridge:15:21,15,bayes,best_arm,choice,0.04933330911482891,0.6163460360121098,0.07352017974858543
e10_primitive_bridge:15:21,15,bayes,best_arm,noul,0.02583419595637343,0.04360670679753334,0.04925644702342055
e10_primitive_bridge:15:21,15,bayes,next_reward,choice,0.04162767301962108,0.05182855654313835,0.1290865800865801
e10_primitive_bridge:15:21,15,bayes,next_reward,noul,0.0020372834092314616,0.003366063964428214,0.029896103896103907
e10_primitive_bridge:15:21,15,counts,best_arm,choice,0.04558782088971809,0.3301049765481672,0.07085351308191878
e10_primitive_bridge:15:21,15,counts,best_arm,noul,0.025707477116462096,0.049560734181042135,0.055586327339438545
e10_primitive_bridge:15:21,15,counts,next_reward,choice,0.01484602799797605,0.026303344488691965,0.06351948051948052
e10_primitive_bridge:15:21,15,counts,next_reward,noul,0.002566287738235792,0.004052742061216924,0.02851948051948053
e10_primitive_bridge:15:21,15,oracle_probs_full,best_arm,choice,0.050357576680238506,0.854853222418635,0.07418684641525211
e10_primitive_bridge:15:21,15,oracle_probs_full,best_arm,noul,0.0016842195560099308,0.01241686497194437,0.024026531855227587
e10_primitive_bridge:15:21,15,oracle_probs_full,next_reward,choice,0.005318841850789901,0.007690638990519102,0.04032900432900433
