experiment,family,k,horizon,policy,phase,normative_reference,normative_interpretation,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,strict_exploration_required,0.03625,0.025,0.04875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,useful_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,inferior_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,exact_optimal_agreement,0.96375,0.95125,0.975,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,posterior_mean_greedy,0.9425,0.925,0.96,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,strict_non_greedy,0.0575,0.04125,0.07625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,unseen_arm,0.00125,0.0,0.00375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,lower_mean_higher_sd,0.0575,0.04121875000000003,0.075,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,equal_mean_higher_sd,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,posterior_mean_deficit,0.005442662616666101,0.0035446504042322058,0.007583551168232137,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,chosen_posterior_sd,0.10595674534380041,0.10203571646224427,0.10993934594717546,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,bayes_ucb_agreement,1.0,1.0,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,knowledge_gradient_agreement,0.94625,0.93,0.96125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,bayes_ucb_top_set_size,1.0075,1.00125,1.015,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.0075,1.00125,1.015,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,exact_loss,0.004992925594664316,0.0031312550315335313,0.0070562853169270365,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,strict_exploration_required,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,useful_non_greedy,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,inferior_non_greedy,0.05375,0.03875,0.07125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_e3,matched_prior,exact_optimal_agreement,0.94625,0.92875,0.9625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_e3,matched_prior,posterior_mean_greedy,0.9333333333333335,0.92125,0.9445833333333334,200,2400,post_hoc_behavioral
