experiment,family,k,horizon,policy,episode_id,normative_reference,normative_interpretation,phase,n_turns,posterior_mean_greedy,strict_non_greedy,unseen_arm,lower_mean_higher_sd,equal_mean_higher_sd,unequal_sd_greedy_tie_available,posterior_mean_deficit,chosen_posterior_sd,bayes_ucb_agreement,knowledge_gradient_agreement,bayes_ucb_top_set_size,knowledge_gradient_top_set_size,exact_loss,strict_exploration_required,useful_non_greedy,inferior_non_greedy,neutral_non_greedy,exact_optimal_agreement
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10210023011482694,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.25,0.25,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15113525065679032,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10618128441464544,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:4,exact_e3,matched_prior,early,4,1.0,0.0,0.25,0.0,0.0,0.25,0.0,0.2369960481850769,0.75,0.5,1.25,1.25,0.027818750301561668,0.25,0.0,0.0,0.0,0.5
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:4,exact_e3,matched_prior,middle,12,1.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.15852484520635804,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:4,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10618128441464544,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:4,exact_e3,matched_prior,early,4,0.75,0.25,0.5,0.25,0.0,0.0,0.04166666666666666,0.25916483183378014,0.75,0.75,1.25,1.25,0.02975043026477575,0.0,0.0,0.25,0.0,0.75
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:4,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.04305555555555555,0.1669235744891455,0.8333333333333334,0.8333333333333334,1.0,1.0,0.03550679749543395,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:4,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11516940976756274,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.25,0.25,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15113525065679032,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10618128441464544,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:5,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2516754242238781,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:5,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.160606193474575,0.9166666666666666,0.75,1.0,1.0,0.004320749367063392,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:5,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11608001065712026,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:5,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2516754242238781,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:5,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.160606193474575,0.9166666666666666,0.75,1.0,1.0,0.004320749367063392,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:5,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11608001065712026,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:5,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2516754242238781,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:5,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.028769841269841268,0.16635013134273383,0.8333333333333334,0.8333333333333334,1.0,1.0,0.020247252747252736,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:5,exact_e3,matched_prior,late,4,0.75,0.25,0.0,0.25,0.0,0.0,0.08333333333333333,0.13149624140912303,0.75,0.75,1.0,1.0,0.08333333333333326,0.0,0.0,0.25,0.0,0.75
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:5,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2516754242238781,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:5,exact_e3,matched_prior,middle,12,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.017045454545454544,0.16635013134273383,0.8333333333333334,0.6666666666666666,1.0,1.0,0.01860148868122506,0.16666666666666666,0.0,0.08333333333333333,0.0,0.75
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:5,exact_e3,matched_prior,late,4,0.75,0.25,0.0,0.25,0.0,0.0,0.08235294117647059,0.13149624140912303,0.75,0.75,1.0,1.0,0.08235294117647057,0.0,0.0,0.25,0.0,0.75
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:5,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2516754242238781,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
